Id	TCGA-2V-A95S-01A-11R-A37K-07_LIHC_TP	TCGA-2Y-A9GS-01A-12R-A38B-07_LIHC_TP	TCGA-2Y-A9GU-01A-11R-A38B-07_LIHC_TP	TCGA-BC-A10Q-11A-11R-A131-07_LIHC_NT	TCGA-BC-A10T-11A-11R-A131-07_LIHC_NT	TCGA-BC-A10W-11A-11R-A131-07_LIHC_NT	TCGA-3C-AAAU-01A-11R-A41B-07_BRCA_TP	TCGA-3C-AALJ-01A-31R-A41B-07_BRCA_TP	TCGA-3C-AALK-01A-11R-A41B-07_BRCA_TP	TCGA-A7-A0CE-11A-21R-A089-07_BRCA_NT	TCGA-A7-A0CH-11A-32R-A089-07_BRCA_NT	TCGA-A7-A0D9-11A-53R-A089-07_BRCA_NT
class	LIHC_TP	LIHC_TP	LIHC_TP	LIHC_NT	LIHC_NT	LIHC_NT	BRCA_TP	BRCA_TP	BRCA_TP	BRCA_NT	BRCA_NT	BRCA_NT
WNT2B|7482	4	15	4	2	4	10	6.5485	9.0662	39.3049	23.1746	41.7489	29.0224
WNT2|7472	48	2	0	59	14	61	12.7524	241.1605	219.2801	118.4127	109.4499	136.9654
WNT3A|89780	0	14	3	0	0	0	0.3447	1.8132	2.8962	2.2222	5.6417	0.5092
WNT3|7473	69	114	44	52	57	38	143.0334	49.864	16.5494	19.6825	13.1641	4.0733
WNT4|54361	1867	40	531	488	56	94	232.6447	283.7715	48.4071	438.7302	64.6921	29.5316
WNT5A|7474	26	427	10	173	79	151	121.6646	302.8105	958.2127	648.254	456.6055	144.6029
WNT5B|81029	29	15	135	212	161	183	12.0631	120.5802	262.7224	507.9365	122.614	114.5621
WNT6|7475	12	12	1	0	1	1	0	0	18.6181	53.3333	31.5938	1.5275
WNT7A|7476	1	0	0	3	0	2	0.3447	0	1.2412	1.5873	2.6328	0.5092
WNT7B|7477	0	17	16	14	14	41	217.1351	155.0317	1195.6971	195.5556	223.7894	18.3299
WNT8A|7478	0	0	0	0	0	0	0	0	0	0.3175	0	0
WNT8B|7479	0	2	6	0	0	0	2.068	0	1.2412	2.5397	1.1283	2.0367
WNT9A|7483	0	1	6	4	1	2	99.2617	12.6927	52.1307	10.4762	20.6864	16.8024
WNT9B|7484	3	1	1	1	1	4	4.4806	4.5331	2.4824	1.2698	12.788	3.5642
WRAP53|55135	357	439	174	109	100	233	201.9701	232.0943	180.8026	216.1905	206.1119	101.3238
WRB|7485	472	902	996	624	530	604	1077.7481	330.9157	381.0509	527.3016	684.5322	424.6436
WRNIP1|56897	1406	2547	923	1039	881	1045	1383.1159	1098.8214	1040.9599	1289.2063	775.9285	565.6823
WRN|7486	144	402	82	161	147	108	437.0274	155.0317	283.7774	372.0635	288.8575	518.8238
WSB1|26118	2086	1601	1356	939	783	1390	1778.7842	2146.8722	919.3215	1853.3333	1583.0748	1526.9857
WSB2|55884	4954	2541	4822	1232	1018	1879	803.7444	2079.7824	1330.9888	1304.127	1768.8764	2257.6375
WSCD1|23302	37	453	390	37	29	34	114.7714	38.9846	17.3769	69.5238	218.8999	173.6253
WSCD2|9671	1	3	2	2	0	0	157.8537	2.7199	12.4121	72.0635	119.229	83.5031
WT1|7490	0	1	7	5	10	1	0.6893	5.4397	9.5159	5.7143	3.0089	0
WTAP|9589	2896	2777	1189	1271	1497	1874	567.9977	1381.6863	1344.6421	2038.4127	1681.9934	1497.9633
WTIP|126374	78	68	35	35	67	72	74.4463	70.7162	298.3037	304.127	383.6389	496.945
WWC1|23286	1339	2715	1282	921	1345	1098	1545.1055	1088.8486	1752.5859	1963.1746	842.5012	95.2138
WWC2|80014	748	1008	854	930	893	894	184.3925	281.0517	484.8986	693.6508	510.3902	1214.8676
WWC3|55841	764	1884	374	303	286	409	988.8262	990.0272	1695.4903	1517.1429	1294.5933	848.2688
WWOX|51741	387	777	341	396	407	270	194.3876	264.7325	173.3554	299.0476	354.678	479.6334
WWP1|11059	7316	5819	3355	3318	4206	3124	3897.402	5809.6102	1908.9781	2008.8889	2270.992	2323.3198
WWP2|11060	2239	3466	1166	827	622	1101	1585.0859	988.214	899.4621	1469.8413	1658.2981	1257.1283
WWTR1|25937	164.51	324.46	105.18	250.46	350.56	240.46	116.6774	123.6627	453.4009	477.873	348.9948	742.4033
XAB2|56949	2491	2699	1627	1077	768	1287	1509.9503	1587.4887	1617.2942	1442.8571	1322.0498	716.3951
XAF1|54739	4713	2261	906	1025	393	909	242.6398	494.107	646.2557	1312.6984	629.6192	775.4582
XAGE1D|9503	455	6727	0	5	6	4	0.3447	0	0	2.5397	4.8895	0
XAGE2|9502	0	1	0	0	0	0	0	0	0	0.9524	7.5223	0
XAGE3|170626	1	0	0	2	0	1	0	0	0	0	4.1373	2.0367
XAGE5|170627	0	26	0	0	0	0	0	0	0	0	0	0
XBP1|7494	20961	29468	33472	23029	44131	18141	39530.9883	18007.2529	66764.5842	45241.2698	25977.9972	2474.0326
XCL1|6375	45	35	3	13	25	25	1.034	11.786	11.5846	24.127	9.0268	4.0733
XCL2|6846	86	26	3	8	26	25	2.4126	8.1596	10.3434	15.5556	11.2835	12.7291
XCR1|2829	5	1	0	2	1	2	2.4126	2.7199	2.4824	1.5873	0.7522	2.5458
XDH|7498	820	4137	10036	5835	2969	3221	18.2669	32.6383	25.2379	149.2063	297.8843	15.2749
XG|7499	0	14	4	79	20	8	2.068	69.8096	143.1527	93.9683	270.0517	933.2994
XIAP|331	3805	2982	1916	1510	1287	1678	2434.6699	1183.1369	1337.1949	1254.6032	1131.3587	1233.7067
XIRP1|165904	15	7	1	7	8	3	1.7233	126.9266	12.4121	1.5873	3.385	2.5458
XIRP2|129446	0	40	0	4	0	0	0.3447	0	0.4137	0.3175	2.2567	0
XIST|7503	15.11	4	12358.46	7671.1	55.53	79.89	1241.5955	22568.8305	15251.5805	9697.7079	4331.0654	7655.8401
XKR3|150165	1	3	0	0	0	0	0	0	0.4137	0.6349	0.7522	0
XKR4|114786	0	0	0	2	0	0	0	0	0	0.9524	0	7.1283
XKR5|389610	0	0	2	0	2	0	3.4466	2.7199	4.1374	4.7619	3.385	1.0183
XKR6|286046	3	0	4	2	2	1	22.0582	2.7199	1.6549	12.0635	6.394	4.5825
XKR7|343702	0	0	0	0	0	0	122.0092	0	0	0	0	0
XKR8|55113	393	1055	751	372	343	437	373.9548	295.5576	227.1411	227.9365	230.9356	156.8228
XKR9|389668	621	3	43	40	65	5	5.1699	7.2529	1.6549	11.4286	17.3014	2.0367
XKRX|402415	12	2	4	0	1	3	14.8203	5.4397	8.6885	5.3968	12.788	7.1283
XKRY2|353515	0	1	0	0	0	0	0	0	0	0	0	0
XKRY|9082	0	0	0	0	0	0	0	0	0	0	0	0
XK|7504	33	1082	8	21	22	61	279.1736	60.7434	8.2747	29.8413	13.1641	3.5642
XPA|7507	455	429	184	284	340	442	203.6934	201.2693	258.585	411.1111	351.669	454.1752
XPC|7508	1433	3940	1478	1027	1176	1156	1081.1947	1079.7824	1308.2333	1811.746	1371.3211	1182.2811
XPNPEP1|7511	3117	992	947	743	509	1036	787.8901	705.349	1168.3906	1153.9683	925.2468	758.1466
XPNPEP2|7512	129	4505	1	6639	1546	2738	1.3786	22.6655	14.8945	248.5714	241.4669	491.8534
XPNPEP3|63929	167.39	575.64	340.91	259.92	191.04	270.3	199.8987	96.5639	237.4969	104.0667	193.7489	291.777
XPO1|7514	3228	8785	3980	1624	1083	1843	3729.5531	5000	3667.3562	2767.9365	2297.3202	2846.7413
XPO4|64328	462	698	669	367	318	332	647.6139	446.0562	529.9959	461.5873	432.5341	712.831
XPO5|57510	1157	2649	511	578	531	466	1375.5334	892.1124	1009.1022	943.8095	773.6718	667.0061
XPO6|23214	3045	4280	1441	847	619	1027	2494.2959	2038.9846	1900.7034	1605.0794	1700.047	1524.4399
